,power_predictions,power_schedule,slacked_power_schedule,power,temperature_predictions,temperature,actions
0,5.949255393555401,0.0,0.0,5.67653151700443,20.983367079632583,20.999986980332118,0.0
1,4.66104497597371,0.0,0.0,5.133097723704809,20.87069184205444,21.00000058985287,0.0
2,4.737276582565228,0.0,0.0,5.252167747549482,20.91973700667336,20.999866715001122,0.0
3,4.307555349572793,0.0,0.0,5.341755221109411,20.872909406687715,20.9998698066005,0.0
4,5.057624783537685,0.0,0.0,5.416432086931616,20.992899080706348,20.99988456291182,0.0
5,4.481943605318168,0.0,0.0,5.47178981427235,20.84166240600024,20.999905485124923,0.0
6,5.178832366020953,0.0,0.0,5.5309464402593695,21.003174192221646,20.999906567958874,0.0
7,4.537190074866841,0.0,0.0,5.577795522027993,20.83573673903686,20.999917476886132,0.0
8,5.252845148618379,0.0,0.0,5.613831367026029,21.022016658725207,20.999928618090152,0.0
9,4.578128723778418,0.0,0.0,5.6406454472359595,20.833226177489955,20.99993873502663,0.0
10,5.276465439640234,0.0,0.0,5.682159426098789,21.00294508002844,20.999932194285883,0.0
11,4.6318423210514466,0.0,0.0,5.71732447433384,20.83479188766386,20.99993667442437,0.0
12,5.375165172666881,0.0,0.0,5.74743350931478,21.011929953144598,20.999941675635952,0.0
13,4.734977176846416,0.0,0.0,5.77353169175618,20.830253039920812,20.999945912458312,0.0
14,5.418021941259698,0.0,0.0,5.778704774040195,20.995544597611346,20.999962831190874,0.0
15,4.842596752431627,0.0,0.0,5.790665973680922,20.847960754879214,20.99996050626163,0.0
16,5.460039628210001,0.0,0.0,5.802095949009919,20.999651217459313,20.999961063361056,0.0
17,4.907037143748767,0.0,0.0,5.812301128122078,20.843362689002536,20.999962569622742,0.0
18,5.463859041611282,0.0,0.0,5.73248628469328,20.98124701514416,21.00001892582249,0.0
19,4.933986883086372,0.0,0.0,5.672046571408784,20.895450448430672,21.00000889092432,0.0
20,5.325606513144857,0.0,0.0,5.61691382404464,20.968660354966527,21.000003354958196,0.0
21,4.842157403771909,0.0,0.0,5.564327150610823,20.889996915041515,21.000001018953007,0.0
22,5.260721051607826,0.0,0.0,5.3489483095471595,20.954034406768976,21.000131981464953,0.0
23,4.82291464627689,0.0,0.0,6.1150283237012895,20.951788417900996,20.999306201155516,0.0
24,5.7452446942883935,0.0,0.0,5.911564793129273,21.002412084761662,20.999927590253176,0.0
25,5.180875942061233,0.0,0.0,5.703596868870066,20.986840563648023,21.000049657221506,0.0
26,5.336891987243012,0.0,0.0,5.812152025388796,20.968720617326913,20.999822561831373,0.0
27,4.850712513520587,0.0,0.0,5.7803823002036525,21.00611598161739,20.999899715117216,0.0
28,5.37903103793797,0.0,0.0,5.801739929498673,20.97089377222951,20.999871149100706,0.0
29,4.853259304236725,0.0,0.0,5.841884504682359,20.969442210163812,20.99985062643933,0.0
30,5.444786809548493,0.0,0.0,5.871064961432981,20.960005460743975,20.999860629855213,0.0
31,4.842678399893045,0.0,0.0,5.702272484583579,20.96319146911517,21.00003471809679,0.0
32,5.369352743638812,0.0,0.0,5.462540959655333,20.957479148458912,21.000033334300007,0.0
33,4.790449929110058,0.0,0.0,5.4171088836284085,20.982921578945817,20.999945959184753,0.0
34,5.2229111266432735,0.0,0.0,5.338107606301105,20.961147367473608,20.99994514539273,0.0
35,4.633140387056949,0.0,0.0,4.4586507489121665,20.952511177535655,21.00046336704535,0.0
