hvac_power,indoor_temperature,outdoor_temperature,humidity,beam_solar_rad,setpoint_change,day_of_week_sin,day_of_week_cos,hour_of_day_sin,hour_of_day_cos,timestamp_lag_1,hvac_power_lag_1,indoor_temperature_lag_1,timestamp_lag_2,hvac_power_lag_2,indoor_temperature_lag_2,timestamp_lag_3,hvac_power_lag_3,indoor_temperature_lag_3,timestamp_lag_4,hvac_power_lag_4,indoor_temperature_lag_4
0.0,23.233079251285357,16.725,82.25,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.0,23.397145845149357,30.0,0.0,23.518651934405288,15.0,0.0,23.7819331769946,0.0,0.0,24.05506816242812
0.0,23.053774385582944,16.85,82.5,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.0,23.233079251285357,30.0,0.0,23.397145845149357,15.0,0.0,23.518651934405288,0.0,0.0,23.7819331769946
0.0,22.90912573373967,16.975,82.75,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.0,23.053774385582944,30.0,0.0,23.233079251285357,15.0,0.0,23.397145845149357,0.0,0.0,23.518651934405288
0.0,22.801384965111218,17.1,83.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.0,22.90912573373967,30.0,0.0,23.053774385582944,15.0,0.0,23.233079251285357,0.0,0.0,23.397145845149357
0.0,22.699044437530073,16.900000000000002,82.75,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.0,22.801384965111218,30.0,0.0,22.90912573373967,15.0,0.0,23.053774385582944,0.0,0.0,23.233079251285357
0.0,22.588713841685358,16.700000000000003,82.5,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.0,22.699044437530073,30.0,0.0,22.801384965111218,15.0,0.0,22.90912573373967,0.0,0.0,23.053774385582944
0.0,22.473062700562725,16.5,82.25,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.0,22.588713841685358,30.0,0.0,22.699044437530073,15.0,0.0,22.801384965111218,0.0,0.0,22.90912573373967
0.0,22.357492819534695,16.3,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.0,22.473062700562725,30.0,0.0,22.588713841685358,15.0,0.0,22.699044437530073,0.0,0.0,22.801384965111218
0.0,22.25920915960343,16.200000000000003,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.0,22.357492819534695,30.0,0.0,22.473062700562725,15.0,0.0,22.588713841685358,0.0,0.0,22.699044437530073
0.0,22.177389625369997,16.1,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.0,22.25920915960343,30.0,0.0,22.357492819534695,15.0,0.0,22.473062700562725,0.0,0.0,22.588713841685358
0.0,22.103728021277558,16.0,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.0,22.177389625369997,30.0,0.0,22.25920915960343,15.0,0.0,22.357492819534695,0.0,0.0,22.473062700562725
0.0,22.032887899794172,15.9,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.0,22.103728021277558,30.0,0.0,22.177389625369997,15.0,0.0,22.25920915960343,0.0,0.0,22.357492819534695
0.0,21.999248675811717,15.950000000000001,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,45.0,0.0,22.032887899794172,30.0,0.0,22.103728021277558,15.0,0.0,22.177389625369997,0.0,0.0,22.25920915960343
0.0,22.00240146247565,16.0,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,45.0,0.0,21.999248675811717,30.0,0.0,22.032887899794172,15.0,0.0,22.103728021277558,0.0,0.0,22.177389625369997
0.0,22.03110888527639,16.05,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,45.0,0.0,22.00240146247565,30.0,0.0,21.999248675811717,15.0,0.0,22.032887899794172,0.0,0.0,22.103728021277558
0.0,22.077972905599715,16.1,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,45.0,0.0,22.03110888527639,30.0,0.0,22.00240146247565,15.0,0.0,21.999248675811717,0.0,0.0,22.032887899794172
0.0,22.076665968865747,15.700000000000001,82.0,0.0,-2.25,0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074,45.0,0.0,22.077972905599715,30.0,0.0,22.03110888527639,15.0,0.0,22.00240146247565,0.0,0.0,21.999248675811717
0.0,23.378286133104414,15.3,82.0,0.0,1.25,0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074,45.0,0.0,22.076665968865747,30.0,0.0,22.077972905599715,15.0,0.0,22.03110888527639,0.0,0.0,22.00240146247565
0.11015101273224376,23.2522977223052,14.9,82.0,0.0,1.25,0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074,45.0,0.0,23.378286133104414,30.0,0.0,22.076665968865747,15.0,0.0,22.077972905599715,0.0,0.0,22.03110888527639
